species_code,com_name,class_name
wvbsun1,Western Violet-backed Sunbird,aves
pltsun2,Brown-throated Sunbird,aves
uvbsun1,Uluguru Violet-backed Sunbird,aves
kvbsun1,Eastern Violet-backed Sunbird,aves
grnsun1,Yellow-chinned Sunbird,aves
plbsun1,Plain-backed Sunbird,aves
retsun3,Red-throated Sunbird,aves
bansun1,Banded Sunbird,aves
ligsun2,Little Green Sunbird,aves
plasun1,Plain Sunbird,aves
grnsun2,Gray-chinned Sunbird,aves
sogpip1,South Georgia Pipit,aves
auspip2,Australian Pipit,aves
berpip1,Berthelot's Pipit,aves
parpip1,Paramo Pipit,aves
shtpip1,Short-tailed Pipit,aves
shbpip3,Puna Pipit,aves
buspip1,Bush Pipit,aves
tawpip1,Tawny Pipit,aves
retpip,Red-throated Pipit,aves
chapip1,Pampas Pipit,aves
yelpip2,Yellowish Pipit,aves
afrpip1,African Pipit,aves
corpip1,Correndera Pipit,aves
yetpip1,Yellow-tufted Pipit,aves
shbpip1,Short-billed Pipit,aves
blypip1,Blyth's Pipit,aves
pecpip,Pechora Pipit,aves
alppip1,Alpine Pipit,aves
helpip1,Hellmayr's Pipit,aves
olbpip,Olive-backed Pipit,aves
moupip1,Mountain Pipit,aves
sibpip1,Siberian Pipit,aves
plbpip1,Plain-backed Pipit,aves
strpip1,Striped Pipit,aves
malpip1,Malindi Pipit,aves
ocbpip1,Ochre-breasted Pipit,aves
