common_name_ar




























وروار أبيض الحنجرة

وروار أوروبي




وروار أخضر صغير (عربي)










وروار أخضر صغير [orientalis Group]

وروار أزرق الخد






وروار أخضر صغير [viridissimus Group]


























قشة أسود الذيل
قرد القشة روندون















غاق قزم








































































حدأة سوداء
حدأة حمراء

















خفاش منحني الجناحين الشرقي



خفاش منحني الجناحين الشائع












