common_name_hu




lebenyes guán
sivatagi pirók
barnásfehér pirók
örvös pirók

rubinpirók

sárgacsőrű kotinga

hókotinga


halvány köviveréb




sárgahasú kardinális
szürkehasú kardinális


sárgaszárnyú kacika



Bennett-kazuár
sisakos kazuár
északi kazuár
bársonyfejű pinty
szalagosfarkú magevő



pulykakeselyű
kis sárgafejű keselyű
nagy sárgafejű keselyű
aranycsőrű fülemülerigó
Bicknell-fülemülerigó
pettyesmellű fülemülerigó

Wilson-fülemülerigó
vörhenyes fülemülerigó
hegyi fülemülerigó
pettyes fülemülerigó

kormosfejű fülemülerigó
szürkearcú fülemülerigó
barnafejű fülemülerigó
flótázó fülemülerigó
szurdoki ökörszem
bóbitás fácán
rövidcsőrű fűposzáta















abesszin fecske


vörhenyes fecske



kucsmás fecske


gesztenyeszínű harkály


sáfrányharkály
sisakos harkály
fahéjszínű harkály






kis ürömfajd
ürömfajd




andamáni bozótkakukk
gaboni bozótkakukk

bengál bozótkakukk
feketecsőrű bozótkakukk

celebeszi bozótkakukk
biaki bozótkakukk
zöldcsőrű bozótkakukk
rézfarkú bozótkakukk
óriás-bozótkakukk
fekete bozótkakukk
fehérhasú bozótkakukk
feketecsíkos bozótkakukk
nagy fekete bozótkakukk
fakófejű bozótkakukk
kékfejű bozótkakukk
szunda bozótkakukk
fácánfarkú bozótkakukk
rövidcsőrű bozótkakukk
szenegáli bozótkakukk
nagy bozótkakukk
mindorói bozótkakukk
szemsávos bozótkakukk
madagaszkári bozótkakukk
vörhenyes bozótkakukk
kék bozótkakukk
fülöp-szigeteki bozótkakukk

csupasznyakú sisakosmadár
díszes sisakosmadár
lebernyeges sisakosmadár
tüzesfejű cinege
pápaszemes lumma
galamblumma
fekete lumma
feketesisakos szarvascsőrű
buzogányfejű szarvascsőrű




kárminsapkás pipra


hegyesfarkú íbisz
















füstös hangyászmadár










tüskebujkáló
Hartlaub-tüskebujkáló
barnásfehér tüskebujkáló
kalahári tüskebujkáló
fekete tüskebujkáló

tyúklúd
orrszarvú alka
amerikai fakúsz
rövidkarmú fakusz
barnatorkú fakúsz
hegyi fakusz
himalájai fakúsz


nepáli fakúsz
szecsuáni fakúsz

sárgatorkú tüskefarkú


éneklő pinty




tarka mézevő



tarka halkapó
vörösfejű berkiposzáta
ökörszemposzáta
berki poszáta
rhododendron berkiposzáta
sárgacsőrű bozótkakukk


